Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Refs
Martha,"November 21 – 25, 1969",90 mph (150 km/h),975 hPa (28.79 inHg),"Panama, Costa Rica",5,$30 million,[2]
Alma,"May 17 – 26, 1970",75 mph (120 km/h),993 hPa (29.32 inHg),"Cayman Islands, Jamaica, Cuba, Southeastern United States",8,Minor,[2]
Nineteen,"October 20 – 28, 1970",80 mph (130 km/h),988 hPa (29.18 inHg),None,0,None,[2]
Two,"August 3 – 7, 1971",85 mph (140 km/h),974 hPa (28.76 inHg),None,0,None,[2]
Beth,"August 10 – 16, 1971",85 mph (140 km/h),977 hPa (28.85 inHg),"The Bahamas, Florida, Nova Scotia, Newfoundland",1,$5.1 million,[2]
Fern,"September 3 – 13, 1971",90 mph (150 km/h),979 hPa (28.91 inHg),"Louisiana, Texas, northern Mexico",2,$30.2 million,[2]
Irene,"September 11 – 20, 1971",80 mph (130 km/h),989 hPa (29.21 inHg),"Lesser Antilles, Leeward Antilles, Central America",3,$1 million,[2]
Agnes,"June 14 – 23, 1972",90 mph (150 km/h),977 hPa (28.85 inHg),"Yucatán Peninsula, western Cuba, Florida Panhandle, Georgia, North Carolina, Virginia, Maryland, Pennsylvania, New York, Atlantic Canada",128,$2.1 billion,[2]
Dawn,"September 5 – 14, 1972",80 mph (130 km/h),997 hPa (29.44 inHg),Southeastern United States,0,Minimal,[2]
Alice,"July 1 – 7, 1973",90 mph (150 km/h),986 hPa (29.12 inHg),"Bermuda, Newfoundland",0,Minimal,[2]
Brenda,"August 18 – 22, 1973",90 mph (150 km/h),977 hPa (28.85 inHg),"Cayman Islands, Mexico",10,Unknown,[2]
Fran,"October 8 – 12, 1973",80 mph (130 km/h),978 hPa (28.88 inHg),Azores,0,Minimal,[2]
Gertrude,"September 25 – October 4, 1974",75 mph (120 km/h),999 hPa (29.50 inHg),Windward Islands,0,Unknown,[2]
Blanche,"July 23 – 28, 1975",85 mph (140 km/h),980 hPa (28.94 inHg),"Maine, Nova Scotia",0,$6.2 million,[2]
Candice,"August 18 – 24, 1976",90 mph (150 km/h),964 hPa (28.47 inHg),None,0,None,[2]
Holly,"October 22 – 28, 1976",75 mph (120 km/h),990 hPa (29.23 inHg),None,0,None,[2]
Babe,"September 3 – 9, 1977",75 mph (120 km/h),995 hPa (29.38 inHg),"Florida, Louisiana, Alabama, Mississippi, Tennessee, Georgia, South Carolina, North Carolina and Virginia",0,$13 million,[2]
Clara,"September 5 – 11, 1977",75 mph (120 km/h),993 hPa (29.32 inHg),"The Carolinas, Nova Scotia",0,Minimal,[2]
Dorothy,"September 26 – 29, 1977",85 mph (140 km/h),980 hPa (28.94 inHg),"Bermuda, Newfoundland",0,None,[2]
Evelyn,"October 13 – 15, 1977",80 mph (130 km/h),994 hPa (29.35 inHg),"Bermuda, Nova Scotia, Newfoundland",0,None,[2]
Cora,"August 7 – 12, 1978",90 mph (150 km/h),980 hPa (28.94 inHg),"Windward Islands, St. Lucia, Barbados, Grenada",1,Minimal,[2]
Kendra,"October 28 – November 1, 1978",80 mph (130 km/h),990 hPa (29.23 inHg),"Puerto Rico, East Coast of the United States",1,$6 million,[2]
Bob,"July 9 – 16, 1979",75 mph (120 km/h),983 hPa (29.03 inHg),"Louisiana, Mississippi, Alabama, Midwestern United States",1,$20 million,[2]
Henri,"September 15 – 24, 1979",85 mph (140 km/h),986 hPa (29.12 inHg),"Mexico, Florida",0,Minimal,[2]
Charley,"August 20 – 25, 1980",80 mph (130 km/h),989 hPa (29.21 inHg),North Carolina,7,None,[2]
Georges,"September 1 – 8, 1980",80 mph (130 km/h),993 hPa (29.32 inHg),Newfoundland,0,None,[2]
Earl,"September 4 – 10, 1980",75 mph (120 km/h),985 hPa (29.09 inHg),None,0,None,[2]
Karl,"November 25 – 28, 1980",85 mph (140 km/h),985 hPa (29.09 inHg),None,0,None,[2]
Dennis,"August 7 – 21, 1981",80 mph (130 km/h),995 hPa (29.38 inHg),"Lesser Antilles, Greater Antilles, The Bahamas, Florida, Georgia, The Carolinas, Virginia",0,$15 million,[2]
Emily,"August 31 – September 11, 1981",90 mph (150 km/h),966 hPa (28.53 inHg),None,0,None,[2]
Katrina,"November 3 – 7, 1981",85 mph (140 km/h),980 hPa (28.94 inHg),"Cayman Islands, Jamaica, Cuba, The Bahamas, Turks and Caicos Islands",2,Minimal,[2]
Alberto,"June 1 – 6, 1982",85 mph (140 km/h),985 hPa (29.09 inHg),"Cuba, Florida",23,$85 million,[2]
Barry,"August 23 – 29, 1983",80 mph (130 km/h),986 hPa (29.12 inHg),"Florida, Texas, Mexico",0,Minimal,[2]
Chantal,"September 10 – 15, 1983",75 mph (120 km/h),994 hPa (29.35 inHg),None,0,None,[2]
Hortense,"September 23 – October 2, 1984",75 mph (120 km/h),993 hPa (29.32 inHg),None,0,None,[2]
Klaus,"November 5 – 13, 1984",90 mph (150 km/h),971 hPa (28.67 inHg),"Puerto Rico, Leeward Islands",2,$152 million,[2]
Lili,"December 12 – 24, 1984",80 mph (130 km/h),980 hPa (28.94 inHg),"Puerto Rico, Hispaniola",0,Minimal,[2]
Bob,"July 21 – 26, 1985",75 mph (120 km/h),"1,002 hPa (29.59 inHg)","Florida, Southeast United States, Mid-Atlantic states, southern New England",5,$20 million,[2]
Claudette,"August 9 – 16, 1985",85 mph (140 km/h),980 hPa (28.94 inHg),"Bermuda, Azores",0,None,[2]
Danny,"August 12 – 18, 1985",90 mph (150 km/h),987 hPa (29.15 inHg),"Cuba, Gulf Coast of the United States, Tennessee, The Carolinas, Virginia",5,$100 million,[2]
Juan,"October 26 – November 21, 1985",85 mph (140 km/h),971 hPa (28.67 inHg),"Louisiana, Gulf Coast of the United States, central United States, Canada",12,$1.5 billion,[2]
Bonnie,"June 23 – 26, 1986",85 mph (140 km/h),992 hPa (29.29 inHg),"Texas, Louisiana, Southeastern United States",5,$42 million,[2]
Charley,"August 13 – 20, 1986",80 mph (130 km/h),987 hPa (29.15 inHg),"Southeastern United States, Mid-Atlantic states, Massachusetts, Ireland, United Kingdom, Europe",15,$15 million,[2]
Frances,"November 16 – 21, 1986",85 mph (140 km/h),"1,000 hPa (29.53 inHg)",None,0,None,[2]
Arlene,"August 10 – 23, 1987",75 mph (120 km/h),987 hPa (29.15 inHg),"The Bahamas, Bermuda",0,$8 thousand,[2]
Floyd,"October 9 – 13, 1987",75 mph (120 km/h),993 hPa (29.32 inHg),"Cuba, Florida, The Bahamas",1,$500 thousand,[2]
Debby,"August 31 – September 8, 1988",75 mph (120 km/h),991 hPa (29.26 inHg),Mexico,20,Unknown,[2]
Florence,"September 7 – 11, 1988",80 mph (130 km/h),982 hPa (29.00 inHg),"Yucatán Peninsula, Louisiana, Mississippi, Alabama, Florida",1,$2.9 million,[2]
Chantal,"July 30 – August 3, 1989",80 mph (130 km/h),984 hPa (29.06 inHg),"Texas, Louisiana, Oklahoma, Midwestern United States",13,$100 million,[2]
Felix,"August 25 – September 9, 1989",85 mph (140 km/h),979 hPa (28.91 inHg),None,0,None,[2]
Jerry,"October 12 – 16, 1989",85 mph (140 km/h),982 hPa (29.00 inHg),"Texas, eastern United States",3,$70 million,[2]
Bertha,"July 24 – August 2, 1990",80 mph (130 km/h),973 hPa (28.73 inHg),"The Bahamas, East Coast of the United States, Bermuda, Atlantic Canada",9,$3.91 million,[2]
Josephine,"September 21 – October 6, 1990",85 mph (140 km/h),980 hPa (28.94 inHg),None,0,None,[2]
Klaus,"October 3 – 9, 1990",80 mph (130 km/h),985 hPa (29.09 inHg),"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Southeastern United States",11,$1 million,[2]
Lili,"October 6 – 14, 1990",75 mph (120 km/h),987 hPa (29.15 inHg),"Bermuda, East Coast of the United States, Atlantic Canada",0,None,[2]
Nana,"October 16 – 21, 1990",85 mph (140 km/h),989 hPa (29.21 inHg),Bermuda,0,Moderate,[2]
1991 Perfect Storm,"October 31 - November 2, 1991",75 mph (120 km/h),980 hPa (28.94 inHg),"Northeastern United States, Mid-Atlantic states, Eastern Canada",13,$200 million,[2]
Frances,"October 23 – 27, 1992",85 mph (140 km/h),976 hPa (28.82 inHg),"Newfoundland, Iberian Peninsula",0,None,[2]
Floyd,"September 7 – 10, 1993",75 mph (120 km/h),990 hPa (29.23 inHg),Newfoundland,0,None,[2]
Harvey,"September 18 – 21, 1993",75 mph (120 km/h),990 hPa (29.23 inHg),None,0,None,[2]
Chris,"August 16 – 23, 1994",80 mph (130 km/h),979 hPa (28.91 inHg),Bermuda,0,None,[2]
Gordon,"November 8 – 21, 1994",85 mph (140 km/h),980 hPa (28.94 inHg),"Central America, Cayman Islands, Jamaica, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Georgia, Mid-Atlantic states","1,152",$594 million,[2]
Allison,"June 3 – 6, 1995",75 mph (120 km/h),987 hPa (29.15 inHg),"Yucatán Peninsula, western Cuba, Florida, Georgia, The Carolinas, Atlantic Canada",1,$1.7 million,[2]
Noel,"September 28 – October 7, 1995",75 mph (120 km/h),987 hPa (29.15 inHg),None,0,None,[2]
Tanya,"October 26 – November 1, 1995",85 mph (140 km/h),972 hPa (28.70 inHg),Azores,1,Minimal,[2]
Cesar,"July 24 – 28, 1996",85 mph (140 km/h),985 hPa (29.09 inHg),"Windward Islands, Trinidad and Tobago, Leeward Antilles, Venezuela, Colombia, Mexico, Socorro Island, Panama, Guatemala, El Salvador",113,$203 million,[2]
Dolly,"August 19 – 25, 1996",80 mph (130 km/h),989 hPa (29.21 inHg),"Belize, Mexico, Texas",14,Unknown,[2]
Marco,"November 16 – 26, 1996",75 mph (120 km/h),983 hPa (29.03 inHg),"Cuba, Hispaniola, Central America, Jamaica, Florida",15,$8.2 million,[2]
Bill,"July 11 – 13, 1997",75 mph (120 km/h),986 hPa (29.12 inHg),Newfoundland,0,None,[2]
Danny,"July 16 – 26, 1997",80 mph (130 km/h),984 hPa (29.06 inHg),"Louisiana, Alabama, Southeastern United States, Mid-Atlantic states, New England",9,$100 million,[2]
Ivan,"September 19 – 27, 1998",90 mph (150 km/h),975 hPa (28.79 inHg),None,0,None,[2]
Lisa,"October 5 – 9, 1998",75 mph (120 km/h),995 hPa (29.38 inHg),None,0,None,[2]
Nicole,"November 24 – December 1, 1998",85 mph (140 km/h),979 hPa (28.91 inHg),None,0,None,[2]
Debby,"August 19 – 24, 2000",85 mph (140 km/h),991 hPa (29.26 inHg),"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica",1,$735 thousand,[2]
Florence,"September 10 – 19, 2000",80 mph (130 km/h),985 hPa (29.09 inHg),"East Coast of the United States, Bermuda, Atlantic Canada",3,None,[2]
Gordon,"September 14 – 21, 2000",80 mph (130 km/h),981 hPa (28.97 inHg),"Belize, Yucatán Peninsula, Cuba, East Coast of the United States, Atlantic Canada",26,$10.8 million,[2]
Joyce,"September 29 – October 2, 2000",90 mph (150 km/h),975 hPa (28.79 inHg),"Trinidad and Tobago, Windward Islands, Leeward Islands",0,Minimal,[2]
Gabrielle,"September 11 – 19, 2001",80 mph (130 km/h),975 hPa (28.79 inHg),"Florida, Newfoundland",3,> 230 million,[2]
Karen,"October 12 – 15, 2001",80 mph (130 km/h),982 hPa (29.00 inHg),"Bermuda, Atlantic Canada",0,$1.4 million,[2]
Noel,"November 4 – 6, 2001",75 mph (120 km/h),986 hPa (29.12 inHg),Atlantic Canada,0,Minimal,[2]
Olga,"November 24 – December 7, 2001",90 mph (150 km/h),973 hPa (28.73 inHg),"Bermuda, The Bahamas, Cuba, Florida",0,Minimal,[2]
Kyle,"September 20 – October 14, 2002",85 mph (140 km/h),980 hPa (28.94 inHg),"Bermuda, Florida, Georgia, The Carolinas, British Isles",1,$5 million,[2]
Claudette,"July 8 – 17, 2003",90 mph (150 km/h),979 hPa (28.91 inHg),"Windward Islands, Jamaica, Yucatán Peninsula, Northern Mexico, Texas",3,$181 million,[2]
Danny,"July 16 – 21, 2003",75 mph (120 km/h),"1,000 hPa (29.53 inHg)",None,0,None,[2]
Erika,"August 14 – 17, 2003",75 mph (120 km/h),986 hPa (29.12 inHg),"Florida, Mexico, Southern Texas",2,$100 thousand,[2]
Gaston,"August 27 – September 3, 2004",75 mph (120 km/h),985 hPa (29.09 inHg),"The Carolinas, Virginia, Maryland, Delaware, Massachusetts",9,$130 million,[2]
Lisa,"September 19 – October 3, 2004",75 mph (120 km/h),987 hPa (29.15 inHg),None,0,None,[2]
Cindy,"July 3 – 12, 2005",75 mph (120 km/h),991 hPa (29.26 inHg),"Yucatán Peninsula, The Carolinas, Alabama, Mississippi, Louisiana",3,$320 million,[2]
Nate,"September 5 – 13, 2005",90 mph (150 km/h),976 hPa (28.82 inHg),"Bermuda, East Coast of the United States, Scotland, Norway",2,Minimal,[2]
Ophelia,"September 6 – 23, 2005",85 mph (140 km/h),976 hPa (28.82 inHg),"The Bahamas, Eastern Coast of the United States, Atlantic Canada, Europe",3,$70 million,[2]
Philippe,"September 17 – 23, 2005",80 mph (130 km/h),985 hPa (29.09 inHg),Bermuda,0,Minimal,[2]
Stan,"October 1 – 5, 2005",80 mph (130 km/h),977 hPa (28.85 inHg),"Costa Rica, Nicaragua, Honduras, El Salvador, Belize, Guatemala, Mexico","1,668",$3.96 billion,[2]
Vince,"October 8 – 11, 2005",75 mph (120 km/h),988 hPa (29.18 inHg),"Madeira Islands, Southern Portugal, Southwestern Spain",0,Minimal,[2]
Epsilon,"November 29 – December 10, 2005",85 mph (140 km/h),981 hPa (28.97 inHg),None,0,Minimal,[2]
Ernesto,"August 24 – September 1, 2006",75 mph (120 km/h),985 hPa (29.09 inHg),"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, East Coast of the United States, Atlantic Canada",11,$500 million,[2]
Florence,"September 3 – 18, 2006",90 mph (150 km/h),974 hPa (28.76 inHg),"Bermuda, Newfoundland, East Coast of the United States, Atlantic Canada, Iceland, Greenland",0,$200 thousand,[2]
Isaac,"September 27 – October 2, 2006",85 mph (140 km/h),985 hPa (29.09 inHg),Newfoundland,0,Minimal,[2]
Humberto,"September 12 – 14, 2007",90 mph (150 km/h),985 hPa (29.09 inHg),"Texas, Louisiana, Mississippi, The Carolinas",1,$50 million,[2]
Karen,"September 25 – 29, 2007",75 mph (120 km/h),988 hPa (29.18 inHg),None,0,Minimal,[2]
Lorenzo,"September 25 – 28, 2007",80 mph (130 km/h),990 hPa (29.23 inHg),Central Mexico,6,$92 million,[2]
Noel,"October 28 – November 7, 2007",80 mph (130 km/h),980 hPa (28.94 inHg),"Leeward Islands, Puerto Rico, Hispaniola, Jamaica, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Eastern United States, Eastern Canada, Greenland, Western Europe",222,$580 million,[2]
Hanna,"August 28 – September 12, 2008",85 mph (140 km/h),977 hPa (28.85 inHg),"Puerto Rico, Turks and Caicos Islands, The Bahamas, Hispaniola, East Coast of the United States, Atlantic Canada",537,$160 million,[2]
Kyle,"September 25 – 30, 2008",85 mph (140 km/h),984 hPa (29.06 inHg),"Puerto Rico, Hispaniola, Bermuda, New England, Atlantic Canada",8,$57.1 million,[2]
Lisa,"September 20 – 26, 2010",85 mph (140 km/h),982 hPa (29.00 inHg),None,0,Minimal,[2]
Otto,"October 6 – 18, 2010",85 mph (140 km/h),976 hPa (28.82 inHg),"Leeward Islands, Virgin Islands, Puerto Rico, Azores, Canary Islands",0,≥ $22.5 million,[2]
Shary,"October 28 – 31, 2010",75 mph (120 km/h),989 hPa (29.21 inHg),Bermuda,0,Minimal,[2]
Maria,"September 5 – September 18, 2011",80 mph (130 km/h),983 hPa (29.03 inHg),"Lesser Antilles, Bermuda, Newfoundland, Europe",0,≥ $1.3 million,[2]
Nate,"September 7 – 12, 2011",75 mph (120 km/h),994 hPa (29.35 inHg),Mexico,5,Minimal,[2]
Philippe,"September 24 – October 8, 2011",90 mph (150 km/h),976 hPa (28.82 inHg),None,0,Minimal,[2]
Chris,"June 18 – 22, 2012",85 mph (140 km/h),974 hPa (28.76 inHg),"Bermuda, Atlantic Canada",0,Minimal,[2]
Isaac,"August 21 – September 3, 2012",80 mph (130 km/h),965 hPa (28.50 inHg),"Leeward Islands, Puerto Rico, Hispaniola, Cuba, The Bahamas, Southeastern United States, Midwestern United States",41,≥ $3.11 billion,[2]
Leslie,"August 30 – September 12, 2012",80 mph (130 km/h),968 hPa (28.59 inHg),"Leeward Islands, Bermuda, Atlantic Canada",0,$10.1 million,[2]
Nadine,"September 10 – October 4, 2012",90 mph (150 km/h),978 hPa (28.88 inHg),"Mexico, Texas",0,Minimal,[2]
Humberto,"September 8 – 19, 2013",90 mph (150 km/h),979 hPa (28.91 inHg),Cape Verde,0,Minimal,[2]
Ingrid,"September 12 – 17, 2013",85 mph (140 km/h),983 hPa (29.03 inHg),"Mexico, Texas",32,≥ $1.5 billion,[2]
Bertha,"August 1 – 16, 2014",80 mph (130 km/h),998 hPa (29.47 inHg),"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, East Coast of the United States, Western Europe",0,≥ $3.8 million,[2]
Cristobal,"August 23 – September 2, 2014",85 mph (140 km/h),965 hPa (28.50 inHg),"Puerto Rico, Hispaniola, Turks and Caicos Islands, East Coast of the United States, Bermuda, Iceland",7,Unknown,[2]
Fay,"October 10 – 13, 2014",80 mph (130 km/h),983 hPa (29.03 inHg),Bermuda,0,≥ $3.8 million,[2]
Fred,"August 30 – September 6, 2015",85 mph (140 km/h),986 hPa (29.12 inHg),"West Africa, Cape Verde",9,$2.5 million,[2][27][28][29][30]
Kate,"November 8 – 11, 2015",85 mph (140 km/h),980 hPa (28.94 inHg),"Martinique, Puerto Rico, Hispaniola, The Bahamas, Europe",0,Minimal,[2]
Alex,"January 12 – 15, 2016",85 mph (140 km/h),981 hPa (28.97 inHg),Azores,1,None,[2]
Earl,"August 2 – 6, 2016",85 mph (140 km/h),979 hPa (28.91 inHg),"Greater Antilles, Central America, Mexico",94,$250 million,[2]
Hermine,"August 28 – September 3, 2016",80 mph (130 km/h),981 hPa (28.97 inHg),East Coast of the United States,5,$550 million,[2]
Franklin,"August 7 – 10, 2017",85 mph (140 km/h),981 hPa (28.97 inHg),"Central America, Mexico",0,$15 million,[2]
Nate,"October 4 – 8, 2017",90 mph (150 km/h),981 hPa (28.97 inHg),"Central America, Mexico, eastern United States",48,$787 million,[2]
Beryl,"July 4 – 15, 2018",80 mph (130 km/h),991 hPa (29.26 inHg),"Lesser Antilles, Greater Antilles",0,None,[2]
Isaac,"September 7 – 15, 2018",75 mph (120 km/h),995 hPa (29.38 inHg),Lesser Antilles,0,None,[2]
Leslie,"September 23 – October 13, 2018",90 mph (150 km/h),968 hPa (28.59 inHg),"Azores, Iberian Peninsula",17,$500 million,[2]
Barry,"July 11 – 15, 2019",75 mph (120 km/h),993 hPa (29.32 inHg),Southeastern United States (particularly Louisiana),1,$600 million,[2][31][32]
Pablo,"October 25 – 28, 2019",80 mph (130 km/h),977 hPa (28.85 inHg),Azores,0,None,[2]
Hanna,"July 23 – 26, 2020",90 mph (150 km/h),973 hPa (28.73 inHg),"Cuba, Hispaniola, United States Gulf Coast (mainly Texas), Northeast Mexico",9,$1.2 billion,[33][34]
Isaias,"July 30 – August 4, 2020",90 mph (150 km/h),986 hPa (29.12 inHg),"Lesser Antilles, Greater Antilles, The Bahamas, East Coast of the United States, Eastern Canada",18,$4.73 billion,[35]
Marco,"August 21 – 25, 2020",75 mph (120 km/h),991 hPa (29.26 inHg),"Central America, Yucatán Peninsula, Gulf Coast of the United States",1,$35 million,[36]
Nana,"September 1 – 3, 2020",75 mph (120 km/h),994 hPa (29.35 inHg),"Honduras, Jamaica, Belize, Guatemala",0,$20 million,[36]
Gamma,"October 2 – 6, 2020",75 mph (120 km/h),978 hPa (28.88 inHg),"Honduras, Yucatán Peninsula, Cayman Islands, Cuba, Florida",6,$100 million,[2]
Elsa,"July 1 – 9, 2021",85 mph (140 km/h),991 hPa (29.26 inHg),"Barbados, Trinidad and Tobago, Leeward Islands, Windward Islands, Venezuela, Hispaniola, Cuba, Jamaica, Cayman Islands, South Atlantic United States, Atlantic Canada",5,$875 million,[2]
Henri,"August 16 – 23, 2021",75 mph (120 km/h),986 hPa (29.12 inHg),"Bermuda, Northeastern United States",2,$550 million,[2]
Nicholas,"September 12 – 17, 2021",75 mph (120 km/h),988 hPa (29.18 inHg),"Mexico, Texas",0,$950 million,[2]
